Max molecule size,LSTM hidden size,da,r,Learning rate,Loss function,MSE
70,100,80,10,0.0001,mse,1.1230
70,450,60,30,0.0001,mse,1.1235
60,100,60,15,0.0001,mse,1.1249
60,150,60,10,0.0001,mse,1.1249
60,300,100,30,0.0001,mse,1.1256
70,100,20,15,0.0001,mse,1.1256
70,300,20,15,0.0001,mse,1.1261
60,450,100,20,0.0001,mse,1.1263
70,100,40,15,0.0001,mse,1.1263
60,300,40,15,0.0001,mse,1.1268
70,150,20,20,0.0001,mse,1.1276
70,150,40,10,0.0001,mse,1.1277
60,150,80,5,0.0001,mse,1.1279
60,450,20,50,0.0001,mse,1.1279
70,150,60,10,0.0001,mse,1.1286
70,450,200,30,0.0001,mse,1.1286
60,150,20,15,0.0001,mse,1.1287
60,150,200,50,0.0001,mse,1.1291
70,150,40,20,0.0001,mse,1.1304
70,450,80,30,0.0001,mse,1.1304
60,100,40,30,0.0001,mse,1.1312
70,100,20,5,0.0001,mse,1.1313
70,450,200,15,0.0001,mse,1.1313
70,100,200,5,0.0001,mse,1.1327
70,300,40,5,0.0001,mse,1.1331
70,300,60,30,0.0001,mse,1.1332
60,300,100,50,0.0001,mse,1.1333
60,150,20,30,0.0001,mse,1.1344
60,450,100,30,0.0001,mse,1.1358
70,300,200,30,0.0001,mse,1.1359
70,450,60,10,0.0001,mse,1.1363
60,300,20,5,0.0001,mse,1.1369
60,300,80,50,0.0001,mse,1.1380
60,450,200,15,0.0001,mse,1.1386
70,300,40,30,0.0001,mse,1.1388
60,300,80,5,0.0001,mse,1.1395
70,100,40,10,0.0001,mse,1.1400
60,150,20,20,0.0001,mse,1.1406
60,150,40,30,0.0001,mse,1.1411
60,150,100,15,0.0001,mse,1.1419
60,100,100,50,0.0001,mse,1.1421
60,300,200,5,0.0001,mse,1.1432
70,100,100,10,0.0001,mse,1.1436
70,100,20,10,0.0001,mse,1.1442
70,150,80,50,0.0001,mse,1.1445
60,150,60,15,0.0001,mse,1.1450
60,100,80,5,0.0001,mse,1.1462
60,450,80,10,0.0001,mse,1.1462
70,100,60,5,0.0001,mse,1.1479
70,450,80,20,0.0001,mse,1.1483
60,300,20,30,0.0001,mse,1.1484
60,450,100,10,0.0001,mse,1.1490
60,100,20,10,0.0001,mse,1.1492
70,300,100,5,0.0001,mse,1.1493
60,300,80,15,0.0001,mse,1.1495
70,450,60,15,0.0001,mse,1.1504
60,450,200,5,0.0001,mse,1.1506
