Max molecule size,LSTM hidden size,da,r,Learning rate,Loss function,MSE
60,100,200,100,0.0001,mse,0.4481
60,300,40,150,0.0001,mse,0.4481
80,300,20,100,0.0001,mse,0.4491
80,150,100,10,0.0001,mse,0.4495
60,100,20,150,0.0001,mse,0.4497
100,100,100,150,0.0001,mse,0.4498
60,100,40,200,0.0001,mse,0.4499
60,300,200,50,0.0001,mse,0.4499
60,100,60,150,0.0001,mse,0.4501
100,150,80,100,0.0001,mse,0.4502
100,300,40,50,0.0001,mse,0.4503
60,300,80,200,0.0001,mse,0.4506
80,100,60,200,0.0001,mse,0.4506
80,100,200,200,0.0001,mse,0.4507
100,100,100,100,0.0001,mse,0.4510
100,100,60,30,0.0001,mse,0.4511
100,100,40,30,0.0001,mse,0.4512
80,150,200,30,0.0001,mse,0.4521
60,150,60,30,0.0001,mse,0.4526
60,300,200,150,0.0001,mse,0.4529
100,100,20,30,0.0001,mse,0.4530
80,300,60,150,0.0001,mse,0.4532
100,100,20,100,0.0001,mse,0.4536
60,150,40,50,0.0001,mse,0.4537
100,150,200,150,0.0001,mse,0.4537
100,100,20,50,0.0001,mse,0.4538
100,100,40,200,0.0001,mse,0.4545
60,150,20,30,0.0001,mse,0.4549
60,100,100,30,0.0001,mse,0.4557
100,100,40,100,0.0001,mse,0.4557
60,150,20,200,0.0001,mse,0.4558
100,300,100,200,0.0001,mse,0.4559
80,100,60,150,0.0001,mse,0.4565
80,300,40,30,0.0001,mse,0.4568
100,150,80,30,0.0001,mse,0.4570
60,100,200,150,0.0001,mse,0.4573
100,150,20,30,0.0001,mse,0.4573
60,150,20,50,0.0001,mse,0.4578
60,150,200,30,0.0001,mse,0.4580
100,150,20,50,0.0001,mse,0.4583
80,100,100,200,0.0001,mse,0.4585
40,150,100,100,0.0001,mse,0.4587
80,100,80,50,0.0001,mse,0.4592
60,150,40,30,0.0001,mse,0.4594
100,150,80,50,0.0001,mse,0.4594
40,100,200,150,0.0001,mse,0.4597
60,100,80,100,0.0001,mse,0.4604
60,300,20,100,0.0001,mse,0.4610
100,100,100,50,0.0001,mse,0.4611
80,300,60,10,0.0001,mse,0.4619
100,100,200,200,0.0001,mse,0.4619
80,150,60,50,0.0001,mse,0.4620
80,300,80,10,0.0001,mse,0.4620
100,300,40,100,0.0001,mse,0.4624
80,100,40,100,0.0001,mse,0.4625
60,150,100,100,0.0001,mse,0.4627
80,100,40,50,0.0001,mse,0.4627
60,150,20,100,0.0001,mse,0.4633
60,100,40,30,0.0001,mse,0.4635
40,150,80,100,0.0001,mse,0.4643
100,150,200,30,0.0001,mse,0.4643
40,100,100,50,0.0001,mse,0.4645
80,100,80,100,0.0001,mse,0.4647
80,100,80,150,0.0001,mse,0.4647
100,300,60,200,0.0001,mse,0.4650
60,100,100,50,0.0001,mse,0.4651
100,150,20,100,0.0001,mse,0.4652
60,300,200,100,0.0001,mse,0.4653
80,100,80,200,0.0001,mse,0.4655
100,150,100,50,0.0001,mse,0.4655
80,150,40,30,0.0001,mse,0.4657
60,100,40,100,0.0001,mse,0.4658
80,150,100,150,0.0001,mse,0.4660
40,300,40,150,0.0001,mse,0.4662
40,300,80,10,0.0001,mse,0.4662
40,100,200,100,0.0001,mse,0.4663
80,100,20,100,0.0001,mse,0.4664
60,300,20,10,0.0001,mse,0.4666
80,100,20,50,0.0001,mse,0.4666
40,100,100,30,0.0001,mse,0.4671
100,100,200,100,0.0001,mse,0.4673
80,150,40,50,0.0001,mse,0.4674
100,150,40,100,0.0001,mse,0.4678
40,300,200,150,0.0001,mse,0.4681
60,150,100,30,0.0001,mse,0.4686
100,100,100,200,0.0001,mse,0.4688
100,300,80,50,0.0001,mse,0.4690
40,100,60,100,0.0001,mse,0.4693
60,150,60,150,0.0001,mse,0.4694
40,150,40,100,0.0001,mse,0.4697
100,300,100,100,0.0001,mse,0.4709
40,300,40,200,0.0001,mse,0.4710
40,100,200,50,0.0001,mse,0.4718
100,150,40,30,0.0001,mse,0.4720
100,150,20,10,0.0001,mse,0.4724
100,150,60,100,0.0001,mse,0.4725
100,300,20,150,0.0001,mse,0.4725
